"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","184.47","186.54","186.78","180.58","96.87M","0.86%"
"2023- 05- 24","182.90","182.23","184.22","178.22","137.60M","-1.54%"
"2023- 05- 23","185.77","186.20","192.96","185.26","156.95M","-1.64%"
"2023- 05- 22","188.87","180.70","189.32","180.11","132.00M","4.85%"
"2023- 05- 19","180.14","177.17","181.95","176.31","136.20M","1.84%"
"2023- 05- 18","176.89","174.22","177.06","172.45","109.52M","1.74%"
"2023- 05- 17","173.86","168.41","174.50","167.18","125.47M","4.41%"
"2023- 05- 16","166.52","165.65","169.52","164.35","98.29M","0.10%"
"2023- 05- 15","166.35","167.65","169.76","164.55","105.59M","-0.97%"
"2023- 05- 12","167.98","176.07","177.38","167.23","157.85M","-2.38%"
"2023- 05- 11","172.08","168.70","173.57","166.79","103.89M","2.10%"
"2023- 05- 10","168.54","172.55","174.43","166.68","119.84M","-0.36%"
"2023- 05- 09","169.15","168.95","169.82","166.56","88.97M","-1.54%"
"2023- 05- 08","171.79","173.72","173.80","169.19","112.25M","1.02%"
"2023- 05- 05","170.06","163.97","170.79","163.51","107.61M","5.50%"
"2023- 05- 04","161.20","162.71","162.95","159.65","95.11M","0.37%"
"2023- 05- 03","160.61","160.01","165.00","159.91","119.73M","0.19%"
"2023- 05- 02","160.31","161.88","165.49","158.93","128.26M","-0.94%"
"2023- 05- 01","161.83","163.17","163.28","158.83","109.02M","-1.51%"
"2023- 04- 28","164.31","160.90","165.00","157.32","122.52M","2.57%"
"2023- 04- 27","160.19","152.64","160.48","152.37","127.02M","4.19%"
"2023- 04- 26","153.75","160.29","160.67","153.14","153.36M","-4.31%"
"2023- 04- 25","160.67","159.82","163.47","158.75","122.00M","-1.16%"
"2023- 04- 24","162.55","164.65","165.65","158.61","140.01M","-1.53%"
"2023- 04- 21","165.08","164.80","166.00","161.32","123.54M","1.28%"
"2023- 04- 20","162.99","166.16","169.70","160.56","210.97M","-9.75%"
"2023- 04- 19","180.59","179.10","183.50","177.65","125.73M","-2.02%"
"2023- 04- 18","184.31","187.15","187.69","183.58","92.07M","-1.46%"
"2023- 04- 17","187.04","186.32","189.69","182.69","116.66M","1.10%"
"2023- 04- 14","185.00","183.95","186.28","182.01","96.44M","-0.48%"
"2023- 04- 13","185.90","182.96","186.50","180.94","112.93M","2.97%"
"2023- 04- 12","180.54","190.74","191.58","180.31","150.26M","-3.35%"
"2023- 04- 11","186.79","186.69","189.19","185.65","115.77M","1.24%"
"2023- 04- 10","184.51","179.94","185.10","176.11","142.16M","-0.30%"
"2023- 04- 06","185.06","183.08","186.39","179.74","123.86M","-0.25%"
"2023- 04- 05","185.52","190.51","190.68","183.76","133.88M","-3.67%"
"2023- 04- 04","192.58","197.32","198.74","190.32","126.46M","-1.12%"
"2023- 04- 03","194.77","199.91","202.69","192.20","169.55M","-6.12%"
"2023- 03- 31","207.46","197.53","207.79","197.20","170.22M","6.24%"
"2023- 03- 30","195.28","195.58","197.33","194.42","110.25M","0.72%"
"2023- 03- 29","193.88","193.13","195.29","189.44","123.66M","2.48%"
"2023- 03- 28","189.19","192.00","192.35","185.43","98.66M","-1.37%"
"2023- 03- 27","191.81","194.41","197.39","189.94","120.85M","0.74%"
"2023- 03- 24","190.41","191.65","192.36","187.15","116.53M","-0.94%"
"2023- 03- 23","192.22","195.26","199.31","188.65","144.19M","0.56%"
"2023- 03- 22","191.15","199.30","200.66","190.95","150.38M","-3.25%"
"2023- 03- 21","197.58","188.28","198.00","188.04","153.39M","7.82%"
"2023- 03- 20","183.25","178.08","186.44","176.35","129.68M","1.73%"
"2023- 03- 17","180.13","184.51","186.22","177.33","133.20M","-2.17%"
"2023- 03- 16","184.13","180.37","185.81","178.84","121.37M","2.04%"
"2023- 03- 15","180.45","180.80","182.34","176.03","146.00M","-1.53%"
"2023- 03- 14","183.26","177.31","183.80","177.14","143.72M","5.03%"
"2023- 03- 13","174.48","167.46","177.35","163.91","167.79M","0.60%"
"2023- 03- 10","173.44","175.13","178.29","168.44","191.49M","0.30%"
"2023- 03- 09","172.92","180.25","185.18","172.51","170.02M","-4.99%"
"2023- 03- 08","182.00","185.04","186.50","180.00","151.90M","-3.04%"
"2023- 03- 07","187.71","191.38","194.20","186.10","148.13M","-3.15%"
"2023- 03- 06","193.81","198.54","198.60","192.30","128.10M","-2.01%"
"2023- 03- 03","197.79","194.79","200.48","192.88","154.19M","3.61%"
"2023- 03- 02","190.90","186.74","193.75","186.01","181.98M","-5.85%"
"2023- 03- 01","202.77","206.21","207.20","198.52","156.85M","-1.43%"
"2023- 02- 28","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"2023- 02- 27","207.63","202.03","209.42","201.26","161.03M","5.46%"
"2023- 02- 24","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"2023- 02- 23","202.07","203.91","205.14","196.33","146.36M","0.60%"
"2023- 02- 22","200.86","197.93","201.99","191.78","191.83M","1.77%"
"2023- 02- 21","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"2023- 02- 17","208.31","199.99","208.44","197.50","213.74M","3.10%"
"2023- 02- 16","202.04","210.78","217.65","201.84","229.59M","-5.69%"
"2023- 02- 15","214.24","211.76","214.66","206.11","182.11M","2.38%"
"2023- 02- 14","209.25","191.94","209.82","189.44","216.46M","7.51%"
"2023- 02- 13","194.64","194.41","196.30","187.61","172.48M","-1.14%"
"2023- 02- 10","196.89","202.23","206.20","192.89","204.75M","-5.03%"
"2023- 02- 09","207.32","207.77","214.00","204.77","215.43M","3.00%"
"2023- 02- 08","201.29","196.10","203.00","194.31","180.67M","2.28%"
"2023- 02- 07","196.81","196.43","197.50","189.55","186.01M","1.05%"
"2023- 02- 06","194.76","193.01","198.17","189.92","186.19M","2.52%"
"2023- 02- 03","189.98","183.95","199.00","183.69","232.66M","0.91%"
"2023- 02- 02","188.27","187.32","196.75","182.61","217.45M","3.78%"
"2023- 02- 01","181.41","173.89","183.80","169.93","213.81M","4.73%"
"2023- 01- 31","173.22","164.57","174.30","162.78","196.81M","3.94%"
"2023- 01- 30","166.66","178.05","179.77","166.50","230.88M","-6.32%"
"2023- 01- 27","177.90","162.43","180.68","161.17","306.59M","11.00%"
"2023- 01- 26","160.27","159.96","161.42","154.76","234.82M","10.97%"
"2023- 01- 25","144.43","141.90","146.41","138.07","192.73M","0.38%"
"2023- 01- 24","143.89","143.00","146.50","141.10","158.70M","0.10%"
"2023- 01- 23","143.75","135.87","145.38","134.27","203.12M","7.74%"
"2023- 01- 20","133.42","128.68","133.51","127.35","138.86M","4.91%"
"2023- 01- 19","127.17","127.26","129.99","124.31","170.29M","-1.25%"
"2023- 01- 18","128.78","136.55","136.68","127.01","195.68M","-2.06%"
"2023- 01- 17","131.49","125.69","131.70","125.02","186.48M","7.43%"
"2023- 01- 13","122.40","116.55","122.63","115.60","180.71M","-0.94%"
"2023- 01- 12","123.56","122.56","124.13","117.00","169.40M","0.28%"
"2023- 01- 11","123.22","122.09","125.95","120.51","183.81M","3.68%"
"2023- 01- 10","118.85","121.07","122.76","114.92","167.64M","-0.77%"
"2023- 01- 09","119.77","118.96","123.52","117.11","190.28M","5.93%"
"2023- 01- 06","113.06","103.00","114.39","101.81","220.91M","2.47%"
"2023- 01- 05","110.34","110.51","111.75","107.16","157.99M","-2.90%"
"2023- 01- 04","113.64","109.11","114.59","107.52","180.39M","5.12%"
"2023- 01- 03","108.10","118.47","118.80","104.64","231.40M","-12.24%"
"2022- 12- 30","123.18","119.95","124.48","119.75","157.78M","1.12%"
"2022- 12- 29","121.82","120.39","123.57","117.50","221.92M","8.08%"
"2022- 12- 28","112.71","110.35","116.27","108.24","221.07M","3.31%"
"2022- 12- 27","109.10","117.50","119.67","108.76","208.64M","-11.41%"
"2022- 12- 23","123.15","126.37","128.62","121.02","166.99M","-1.76%"
"2022- 12- 22","125.35","136.00","136.63","122.26","210.09M","-8.88%"
"2022- 12- 21","137.57","139.34","141.26","135.89","145.42M","-0.17%"
"2022- 12- 20","137.80","146.05","148.47","137.66","159.56M","-8.05%"
"2022- 12- 19","149.87","154.00","155.25","145.82","139.39M","-0.24%"
"2022- 12- 16","150.23","159.63","160.99","150.04","139.03M","-4.72%"
"2022- 12- 15","157.67","153.44","160.93","153.28","122.33M","0.55%"
"2022- 12- 14","156.80","159.25","161.62","155.31","140.68M","-2.58%"
"2022- 12- 13","160.95","174.87","175.05","156.91","175.86M","-4.09%"
"2022- 12- 12","167.82","176.10","177.37","167.52","109.79M","-6.27%"
"2022- 12- 09","179.05","173.84","182.50","173.36","104.87M","3.23%"
"2022- 12- 08","173.44","172.20","175.20","169.06","97.62M","-0.34%"
"2022- 12- 07","174.04","175.03","179.38","172.22","84.21M","-3.21%"
"2022- 12- 06","179.82","181.21","183.65","175.33","92.15M","-1.44%"
"2022- 12- 05","182.45","189.44","191.27","180.55","93.12M","-6.37%"
"2022- 12- 02","194.86","191.78","196.25","191.11","73.65M","0.08%"
"2022- 12- 01","194.70","197.08","198.92","191.80","80.05M","0.00%"
"2022- 11- 30","194.70","182.43","194.76","180.63","109.19M","7.67%"
"2022- 11- 29","180.83","184.99","186.38","178.75","83.36M","-1.14%"
"2022- 11- 28","182.92","179.96","188.50","179.00","93.04M","0.03%"
"2022- 11- 25","182.86","185.06","185.20","180.63","50.67M","-0.19%"
"2022- 11- 23","183.20","173.57","183.62","172.50","109.54M","7.82%"
"2022- 11- 22","169.91","168.63","170.92","166.18","78.45M","1.22%"
"2022- 11- 21","167.87","175.85","176.77","167.54","92.88M","-6.84%"
"2022- 11- 18","180.19","185.05","185.19","176.55","76.05M","-1.63%"
"2022- 11- 17","183.17","183.96","186.16","180.90","64.34M","-2.01%"
"2022- 11- 16","186.92","191.51","192.57","185.66","66.57M","-3.86%"
"2022- 11- 15","194.42","195.88","200.82","192.06","91.29M","1.82%"
"2022- 11- 14","190.95","192.77","195.73","186.34","92.23M","-2.56%"
"2022- 11- 11","195.97","186.00","196.52","182.59","114.40M","2.75%"
"2022- 11- 10","190.72","189.90","191.00","180.03","132.70M","7.39%"
"2022- 11- 09","177.59","190.77","195.89","177.12","127.06M","-7.17%"
"2022- 11- 08","191.30","194.02","195.20","186.75","128.80M","-2.93%"
"2022- 11- 07","197.08","208.65","208.90","196.66","93.92M","-5.01%"
"2022- 11- 04","207.47","222.60","223.80","203.08","98.62M","-3.64%"
"2022- 11- 03","215.31","211.36","221.20","210.14","56.54M","0.15%"
"2022- 11- 02","214.98","226.04","227.87","214.82","63.07M","-5.64%"
"2022- 11- 01","227.82","234.05","237.40","227.28","62.69M","0.12%"
"2022- 10- 31","227.54","226.19","229.85","221.94","61.55M","-0.43%"
"2022- 10- 28","228.52","225.40","228.86","216.35","69.15M","1.52%"
"2022- 10- 27","225.09","229.77","233.81","222.85","61.64M","0.20%"
"2022- 10- 26","224.64","219.40","230.60","218.20","85.33M","1.00%"
"2022- 10- 25","222.41","210.10","224.35","210.00","96.51M","5.29%"
"2022- 10- 24","211.25","205.82","213.50","198.59","100.45M","-1.49%"
"2022- 10- 21","214.44","206.41","214.66","203.80","75.71M","3.45%"
"2022- 10- 20","207.28","208.28","215.55","202.00","117.80M","-6.65%"
"2022- 10- 19","222.04","219.80","222.93","217.78","66.57M","0.84%"
"2022- 10- 18","220.19","229.50","229.82","217.25","75.89M","0.38%"
"2022- 10- 17","219.35","210.04","221.86","209.45","79.43M","7.01%"
"2022- 10- 14","204.99","224.01","226.26","204.16","94.13M","-7.55%"
"2022- 10- 13","221.72","208.30","222.99","206.22","91.48M","2.06%"
"2022- 10- 12","217.24","215.33","219.30","211.51","66.86M","0.34%"
"2022- 10- 11","216.50","220.95","225.75","215.00","77.01M","-2.90%"
"2022- 10- 10","222.96","223.93","226.99","218.36","67.93M","-0.05%"
"2022- 10- 07","223.07","233.93","234.57","222.02","83.92M","-6.32%"
"2022- 10- 06","238.13","239.44","244.58","235.35","69.30M","-1.11%"
"2022- 10- 05","240.81","245.01","246.67","233.27","86.98M","-3.46%"
"2022- 10- 04","249.44","250.52","257.50","242.01","109.58M","2.90%"
"2022- 10- 03","242.40","254.50","255.16","241.01","98.36M","-8.61%"
"2022- 09- 30","265.25","266.14","275.57","262.47","67.73M","-1.10%"
"2022- 09- 29","268.21","282.76","283.65","265.78","77.62M","-6.81%"
"2022- 09- 28","287.81","283.08","289.00","277.57","54.67M","1.72%"
"2022- 09- 27","282.94","283.84","288.67","277.51","61.93M","2.51%"
"2022- 09- 26","276.01","271.83","284.09","270.31","58.08M","0.25%"
"2022- 09- 23","275.33","283.09","284.50","272.82","63.75M","-4.59%"
"2022- 09- 22","288.59","299.86","301.29","285.82","70.55M","-4.06%"
"2022- 09- 21","300.80","308.29","313.80","300.63","62.56M","-2.57%"
"2022- 09- 20","308.73","306.91","313.33","305.58","61.64M","-0.11%"
"2022- 09- 19","309.07","300.09","309.84","297.80","60.23M","1.89%"
"2022- 09- 16","303.35","299.61","303.71","295.60","87.09M","-0.13%"
"2022- 09- 15","303.75","301.83","309.12","300.72","64.80M","0.38%"
"2022- 09- 14","302.61","292.24","306.00","291.64","72.63M","3.59%"
"2022- 09- 13","292.13","292.90","297.40","290.40","68.23M","-4.04%"
"2022- 09- 12","304.42","300.72","305.49","300.40","48.68M","1.58%"
"2022- 09- 09","299.68","291.67","299.85","291.24","54.47M","3.60%"
"2022- 09- 08","289.26","281.30","289.50","279.76","53.71M","1.96%"
"2022- 09- 07","283.70","273.10","283.84","272.27","50.03M","3.38%"
"2022- 09- 06","274.42","272.67","275.99","265.74","55.86M","1.56%"
"2022- 09- 02","270.21","281.07","282.35","269.08","50.89M","-2.51%"
"2022- 09- 01","277.16","272.58","277.58","266.15","54.29M","0.56%"
"2022- 08- 31","275.61","280.62","281.25","271.81","52.11M","-0.75%"
"2022- 08- 30","277.70","287.86","288.48","272.65","50.54M","-2.50%"
"2022- 08- 29","284.82","282.83","287.74","280.70","41.87M","-1.14%"
"2022- 08- 26","288.09","297.43","302.00","287.47","57.16M","-2.70%"
"2022- 08- 25","296.07","302.36","302.96","291.60","53.23M","-0.35%"
"2022- 08- 24","297.10","297.56","303.65","296.50","57.26M","0.22%"
"2022- 08- 23","296.45","291.45","298.83","287.92","63.99M","2.26%"
"2022- 08- 22","289.91","291.91","292.40","286.30","55.84M","-2.28%"
"2022- 08- 19","296.67","299.00","300.36","292.50","61.40M","-2.05%"
"2022- 08- 18","302.87","306.00","306.50","301.85","47.50M","-0.37%"
"2022- 08- 17","304.00","303.40","309.66","300.03","68.77M","-0.84%"
"2022- 08- 16","306.56","311.67","314.67","302.88","88.14M","-0.89%"
"2022- 08- 15","309.32","301.79","313.13","301.23","89.36M","3.10%"
"2022- 08- 12","300.03","289.41","300.16","285.03","79.66M","4.68%"
"2022- 08- 11","286.63","296.51","298.24","285.83","70.16M","-2.62%"
"2022- 08- 10","294.36","297.07","297.51","283.37","94.92M","3.89%"
"2022- 08- 09","283.33","290.29","292.40","279.35","86.25M","-2.44%"
"2022- 08- 08","290.42","295.00","305.20","289.09","99.37M","0.78%"
"2022- 08- 05","288.17","302.67","304.61","285.54","113.17M","-6.63%"
"2022- 08- 04","308.63","311.00","313.61","305.00","72.26M","0.40%"
"2022- 08- 03","307.40","305.00","309.55","301.15","80.09M","2.27%"
"2022- 08- 02","300.59","294.00","307.83","292.67","95.58M","1.11%"
"2022- 08- 01","297.28","301.27","311.88","295.00","117.04M","0.04%"
"2022- 07- 29","297.15","280.70","298.32","279.10","95.31M","5.78%"
"2022- 07- 28","280.90","280.07","283.30","272.80","84.72M","2.21%"
"2022- 07- 27","274.82","263.81","275.93","261.79","88.11M","6.17%"
"2022- 07- 26","258.86","266.51","267.31","256.26","66.82M","-3.57%"
"2022- 07- 25","268.43","272.22","274.15","267.40","64.07M","-1.40%"
"2022- 07- 22","272.24","276.22","280.79","270.71","103.47M","0.20%"
"2022- 07- 21","271.71","255.11","273.27","254.87","142.03M","9.78%"
"2022- 07- 20","247.50","246.78","250.66","243.48","88.86M","0.80%"
"2022- 07- 19","245.53","245.00","247.14","236.98","80.89M","2.07%"
"2022- 07- 18","240.55","244.94","250.52","239.60","82.54M","0.20%"
"2022- 07- 15","240.07","240.00","243.62","236.89","69.68M","0.74%"
"2022- 07- 14","238.31","234.90","238.65","229.33","78.56M","0.54%"
"2022- 07- 13","237.04","225.50","242.06","225.03","97.96M","1.70%"
"2022- 07- 12","233.07","236.85","239.77","228.37","87.93M","-0.54%"
"2022- 07- 11","234.34","252.10","253.06","233.63","99.51M","-6.55%"
"2022- 07- 08","250.76","242.33","254.98","241.16","101.85M","2.54%"
"2022- 07- 07","244.54","233.92","245.36","232.21","81.93M","5.53%"
"2022- 07- 06","231.73","230.78","234.56","227.19","71.85M","-0.57%"
"2022- 07- 05","233.07","223.00","233.15","216.17","84.78M","2.55%"
"2022- 07- 01","227.26","227.00","230.23","222.12","74.46M","1.24%"
"2022- 06- 30","224.47","224.51","229.46","218.86","94.60M","-1.76%"
"2022- 06- 29","228.49","230.50","231.17","222.27","82.90M","-1.79%"
"2022- 06- 28","232.66","244.48","249.97","232.34","90.67M","-5.00%"
"2022- 06- 27","244.92","249.37","252.07","242.57","89.18M","-0.32%"
"2022- 06- 24","245.71","237.47","246.07","236.09","95.77M","4.52%"
"2022- 06- 23","235.07","237.90","239.32","228.64","104.20M","-0.43%"
"2022- 06- 22","236.09","234.50","246.83","233.83","101.53M","-0.40%"
"2022- 06- 21","237.04","224.60","243.58","224.33","122.79M","9.35%"
"2022- 06- 17","216.76","213.43","220.97","213.20","92.64M","1.72%"
"2022- 06- 16","213.10","222.74","225.17","208.69","107.39M","-8.54%"
"2022- 06- 15","233.00","220.92","235.66","218.15","119.13M","5.48%"
"2022- 06- 14","220.89","218.29","226.33","211.74","97.99M","2.39%"
"2022- 06- 13","215.74","223.17","226.63","214.68","102.77M","-7.10%"
"2022- 06- 10","232.23","235.16","239.50","227.91","98.09M","-3.12%"
"2022- 06- 09","239.71","249.34","255.55","239.33","96.49M","-0.89%"
"2022- 06- 08","241.87","240.09","249.96","239.18","76.21M","1.25%"
"2022- 06- 07","238.89","234.00","240.00","230.09","72.81M","0.25%"
"2022- 06- 06","238.28","244.35","244.87","234.35","84.21M","1.60%"
"2022- 06- 03","234.52","243.22","247.80","233.42","112.39M","-9.22%"
"2022- 06- 02","258.33","244.16","264.21","242.07","93.47M","4.68%"
"2022- 06- 01","246.79","251.72","257.33","243.64","77.25M","-2.36%"
"2022- 05- 31","252.75","257.95","259.60","244.74","101.91M","-0.18%"
"2022- 05- 27","253.21","241.08","253.27","240.18","89.30M","7.33%"
"2022- 05- 26","235.91","220.47","239.56","217.89","106.00M","7.43%"
"2022- 05- 25","219.60","207.95","223.11","207.67","92.14M","4.88%"
"2022- 05- 24","209.39","217.84","217.97","206.86","89.09M","-6.93%"
"2022- 05- 23","224.97","218.34","226.65","212.69","88.90M","1.66%"
"2022- 05- 20","221.30","238.00","240.53","211.00","144.97M","-6.42%"
"2022- 05- 19","236.47","235.67","244.67","231.37","90.30M","-0.05%"
"2022- 05- 18","236.60","248.17","253.50","233.60","87.81M","-6.80%"
"2022- 05- 17","253.87","249.12","254.83","242.95","80.24M","5.14%"
"2022- 05- 16","241.46","255.72","256.59","239.70","86.10M","-5.88%"
"2022- 05- 13","256.53","257.83","262.45","250.52","92.15M","5.71%"
"2022- 05- 12","242.67","233.67","253.22","226.67","140.31M","-0.82%"
"2022- 05- 11","244.67","265.00","269.92","242.40","97.23M","-8.25%"
"2022- 05- 10","266.68","273.10","275.12","258.08","84.40M","1.64%"
"2022- 05- 09","262.37","278.82","281.88","260.38","90.81M","-9.07%"
"2022- 05- 06","288.55","295.67","296.00","281.03","72.90M","-0.87%"
"2022- 05- 05","291.09","313.07","315.20","285.90","92.52M","-8.33%"
"2022- 05- 04","317.54","301.31","318.50","295.09","81.64M","4.77%"
"2022- 05- 03","303.08","301.06","308.03","296.20","63.71M","0.70%"
"2022- 05- 02","300.98","286.92","302.12","282.68","75.78M","3.70%"
"2022- 04- 29","290.25","300.75","311.47","290.00","88.13M","-0.77%"
"2022- 04- 28","292.50","299.99","300.00","273.90","124.95M","-0.45%"
"2022- 04- 27","293.84","299.53","306.00","292.45","76.96M","0.58%"
"2022- 04- 26","292.14","331.81","333.33","291.67","136.13M","-12.18%"
"2022- 04- 25","332.67","326.32","336.21","325.10","68.34M","-0.70%"
"2022- 04- 22","335.02","338.30","344.95","331.33","69.70M","-0.37%"
"2022- 04- 21","336.26","358.24","364.07","332.14","105.42M","3.23%"
"2022- 04- 20","325.73","343.33","344.67","325.08","70.71M","-4.96%"
"2022- 04- 19","342.72","335.02","344.98","331.77","49.85M","2.38%"
"2022- 04- 18","334.76","329.68","338.31","324.47","51.72M","1.96%"
"2022- 04- 14","328.33","333.10","337.57","327.40","58.42M","-3.66%"
"2022- 04- 13","340.79","327.02","342.08","324.37","55.12M","3.59%"
"2022- 04- 12","328.98","332.55","340.40","325.53","65.98M","1.13%"
"2022- 04- 11","325.31","326.80","336.16","324.88","59.36M","-4.83%"
"2022- 04- 08","341.83","347.74","349.48","340.81","55.01M","-3.00%"
"2022- 04- 07","352.42","350.80","358.86","340.51","79.45M","1.10%"
"2022- 04- 06","348.59","357.82","359.67","342.57","89.35M","-4.17%"
"2022- 04- 05","363.75","378.77","384.29","362.43","80.08M","-4.73%"
"2022- 04- 04","381.82","363.13","383.30","357.51","82.18M","5.61%"
"2022- 04- 01","361.53","360.38","364.92","355.55","54.26M","0.65%"
"2022- 03- 31","359.20","364.86","367.71","358.88","48.99M","-1.50%"
"2022- 03- 30","364.66","363.72","371.32","361.33","59.87M","-0.51%"
"2022- 03- 29","366.52","369.33","371.59","357.70","73.61M","0.71%"
"2022- 03- 28","363.95","355.03","365.96","351.20","102.51M","8.04%"
"2022- 03- 25","336.88","336.00","340.60","332.44","62.03M","-0.32%"
"2022- 03- 24","337.97","336.58","341.50","329.60","68.92M","1.48%"
"2022- 03- 23","333.04","326.65","346.90","325.47","120.68M","0.52%"
"2022- 03- 22","331.33","310.00","332.62","307.25","105.87M","7.91%"
"2022- 03- 21","307.05","304.99","314.28","302.36","81.98M","1.74%"
"2022- 03- 18","301.80","291.50","302.62","289.13","100.41M","3.88%"
"2022- 03- 17","290.53","277.00","291.67","275.24","66.58M","3.73%"
